Time,Candidate,Tweets
10/22: 15,Biden,46
10/22: 15,Trump,121
10/22: 16,Biden,112
10/22: 16,Trump,377
10/22: 17,Biden,157
10/22: 17,Trump,369
10/22: 18,Biden,143
10/22: 18,Trump,303
10/22: 19,Biden,164
10/22: 19,Trump,365
10/22: 20,Biden,143
10/22: 20,Trump,346
10/22: 21,Biden,166
10/22: 21,Trump,339
10/22: 22,Biden,220
10/22: 22,Trump,356
10/22: 23,Biden,190
10/22: 23,Trump,285
10/23: 00,Biden,71
10/23: 00,Trump,102
10/23: 01,Biden,153
10/23: 01,Trump,162
10/23: 02,Biden,132
10/23: 02,Trump,163
10/23: 03,Biden,106
10/23: 03,Trump,139
10/23: 04,Biden,72
10/23: 04,Trump,145
10/23: 05,Biden,77
10/23: 05,Trump,110
10/23: 06,Biden,70
10/23: 06,Trump,132
10/23: 07,Biden,54
10/23: 07,Trump,149
10/23: 08,Biden,43
10/23: 08,Trump,137
10/23: 09,Biden,53
10/23: 09,Trump,120
10/23: 10,Biden,49
10/23: 10,Trump,122
10/23: 11,Biden,64
10/23: 11,Trump,129
10/23: 12,Biden,76
10/23: 12,Trump,126
10/23: 13,Biden,48
10/23: 13,Trump,130
10/23: 14,Biden,63
10/23: 14,Trump,116
10/23: 15,Biden,85
10/23: 15,Trump,118
10/23: 16,Biden,76
10/23: 16,Trump,118
10/23: 17,Biden,52
10/23: 17,Trump,137
10/23: 18,Biden,62
10/23: 18,Trump,118
10/23: 19,Biden,59
10/23: 19,Trump,112
10/23: 20,Biden,67
10/23: 20,Trump,112
10/23: 21,Biden,76
10/23: 21,Trump,110
10/23: 22,Biden,42
10/23: 22,Trump,134
10/23: 23,Biden,43
10/23: 23,Trump,129
