,text,size
6,trump,3696
154,biden,2263
199,president,1090
91,joe,1019
50,debate,666
105,vote,623
83,people,529
194,im,509
119,hunter,506
84,like,472
163,trumps,454
1373,donald,420
15,one,358
492,amp,346
407,bidens,346
181,know,342
309,us,341
209,its,324
210,going,311
128,it,310
146,stahl,308
33,last,306
142,minutes,306
159,tonight,306
787,said,304
321,get,300
320,family,292
348,election,282
198,american,282
141,60,281
365,would,278
666,hes,278
370,years,275
166,time,273
307,says,272
192,interview,271
180,dont,269
414,this,263
570,say,254
45,see,250
305,never,250
304,plan,248
760,cant,236
107,lets,233
14,new,228
195,running,223
1907,debates2020,215
196,proud,212
80,america,208
548,the,204
